dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_results,group_labels
100,25,20,0.0,3,44,0.9359,"[{'group': -1, 'count': 44}, {'group': 0, 'count': 49}, {'group': 1, 'count': 62}]","[0, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, -1, 0, 0, 1, -1, 1, -1, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,25,19,0.0,3,44,0.9359,"[{'group': -1, 'count': 44}, {'group': 0, 'count': 49}, {'group': 1, 'count': 62}]","[0, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, -1, 0, 0, 1, -1, 1, -1, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,25,18,0.0,3,44,0.9359,"[{'group': -1, 'count': 44}, {'group': 0, 'count': 49}, {'group': 1, 'count': 62}]","[0, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, -1, 0, 0, 1, -1, 1, -1, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,25,17,0.0,3,44,0.9359,"[{'group': -1, 'count': 44}, {'group': 0, 'count': 49}, {'group': 1, 'count': 62}]","[0, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, -1, 0, 0, 1, -1, 1, -1, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,25,16,0.0,3,44,0.9359,"[{'group': -1, 'count': 44}, {'group': 0, 'count': 49}, {'group': 1, 'count': 62}]","[0, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, -1, 0, 0, 1, -1, 1, -1, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,25,15,0.0,3,44,0.9359,"[{'group': -1, 'count': 44}, {'group': 0, 'count': 49}, {'group': 1, 'count': 62}]","[0, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, -1, 0, 0, 1, -1, 1, -1, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,30,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,29,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,28,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,27,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,26,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,25,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,24,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,23,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,22,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,21,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,20,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,19,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,18,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,17,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,16,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,20,15,0.0,3,42,0.9456,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 50}, {'group': 1, 'count': 63}]","[-1, 1, -1, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,15,30,0.0,3,42,0.9333,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 49}, {'group': 1, 'count': 64}]","[-1, 1, 0, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, -1, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, -1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, 0, 1, 1, 1, 1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,15,29,0.0,3,42,0.9333,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 49}, {'group': 1, 'count': 64}]","[-1, 1, 0, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, -1, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, -1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, 0, 1, 1, 1, 1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,15,28,0.0,3,42,0.9333,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 49}, {'group': 1, 'count': 64}]","[-1, 1, 0, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, -1, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, -1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, 0, 1, 1, 1, 1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
100,15,27,0.0,3,42,0.9333,"[{'group': -1, 'count': 42}, {'group': 0, 'count': 49}, {'group': 1, 'count': 64}]","[-1, 1, 0, 0, 0, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 1, 0, -1, -1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, 1, -1, 0, 1, -1, 1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, 1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, 0, 1, 1, 1, 1, 1, -1, 1, -1, -1, 0, 1, -1, 1, -1, 0, 1, 1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
