dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_results,group_labels,parent_group
100,20,20,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
100,20,19,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
100,20,18,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
100,20,17,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
100,20,16,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
100,15,30,0.0,1,106,-1.0,"[{'group': -1, 'count': 106}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",root
100,15,29,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
100,15,28,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
100,15,27,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
100,15,26,0.0,3,29,0.9932,"[{'group': -1, 'count': 29}, {'group': 1, 'count': 29}, {'group': 0, 'count': 48}]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, 1, 1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 0, 1, -1, 1, -1, -1, 1, 0, -1, -1]",root
